ticker,name,module,data_status,data_coverage_pct,bqs,bqs_coverage_pct,metric_coverage_pct,bqs_confidence,bqs_provisional_components,growth_flags,bqs_eligible_top30,bqs_rank,market_price,market_cap,market_source,market_source_symbol,market_retrieved_at_utc,ios,ios_variant,ios_rank,ios_confidence,ios_provisional_reasons,ios_leverage_indeterminate,ios_gate_reason,discount_rate,owner_yield,expected_return,margin_of_safety,bear_return,bull_return
SPGI,S+P GLOBAL INC,GENERAL,PRESENT,100.0,90.2,100.0,70.4,PROVISIONAL,moat|balance,,True,11,406.5,119836200000.0,NASDAQ_PUBLIC_SCREENER,SPGI,2026-09-24T19:02:43Z,52.3,IOS_GENERAL,62,PROVISIONAL,BQS_PROVISIONAL|LEVERAGE_THRESHOLD_INDETERMINATE,True,,0.095,0.0436,0.1436,-0.086,-0.381,0.191
ISRG,INTUITIVE SURGICAL INC,GENERAL,PRESENT,100.0,90.2,90.0,67.3,PROVISIONAL,moat|balance,,True,12,398.3,140710642535.0,NASDAQ_PUBLIC_SCREENER,ISRG,2026-09-24T19:02:43Z,35.3,IOS_GENERAL,125,PROVISIONAL,BQS_PROVISIONAL,False,,0.095,0.0121,0.1102,-0.737,-0.822,-0.657
ADBE,ADOBE INC,SOFTWARE,PRESENT,100.0,89.7,100.0,70.4,PROVISIONAL,moat|balance,,True,13,240.69,93676548000.0,NASDAQ_PUBLIC_SCREENER,ADBE,2026-09-24T19:02:43Z,95.2,IOS_GENERAL,8,PROVISIONAL,BQS_PROVISIONAL,False,,0.095,0.0844,0.1844,0.729,0.172,1.254
MNST,MONSTER BEVERAGE CORP,GENERAL,PRESENT,100.0,89.1,100.0,70.4,PROVISIONAL,moat|balance,,True,14,43.91,129033073487.0,NASDAQ_PUBLIC_SCREENER,MNST,2026-09-24T19:02:43Z,34.9,IOS_GENERAL,129,PROVISIONAL,BQS_PROVISIONAL,False,,0.095,0.0143,0.1096,-0.719,-0.81,-0.634
TRV,TRAVELERS COS INC/THE,INSURANCE,PRESENT,100.0,88.9,90.0,40.8,PROVISIONAL,economics|moat|runway|mgmt|balance,,True,15,360.39,75168352179.0,NASDAQ_PUBLIC_SCREENER,TRV,2026-09-24T19:02:43Z,,IOS_INSURANCE,,NOT_CALCULATED,,True,combined ratio MISSING: sottoscrizione non valutabile,,,,,,
MPWR,MONOLITHIC POWER SYSTEMS INC,SEMICONDUCTOR,PRESENT,100.0,88.8,90.0,63.3,PROVISIONAL,moat|balance,BASE_EFFECT_SUSPECTED|PRIOR_YEAR_ONE_OFF_SUSPECTED,True,16,1355.47,66611862210.0,NASDAQ_PUBLIC_SCREENER,MPWR,2026-09-24T19:02:43Z,33.8,IOS_GENERAL,138,PROVISIONAL,BQS_PROVISIONAL,False,,0.105,0.0066,0.1066,-0.875,-0.913,-0.841
DECK,DECKERS OUTDOOR CORP,GENERAL,PRESENT,100.0,88.6,100.0,70.4,PROVISIONAL,moat|balance,,True,17,78.59,10720794100.0,NASDAQ_PUBLIC_SCREENER,DECK,2026-09-24T19:02:43Z,98.3,IOS_GENERAL,1,PROVISIONAL,BQS_PROVISIONAL,False,,0.095,0.0982,0.1982,1.135,0.446,1.781
TTD,TRADE DESK INC/THE CLASS A,SOFTWARE,PRESENT,100.0,88.6,100.0,70.4,PROVISIONAL,moat|balance,BASE_EFFECT_SUSPECTED,True,18,12.68,5995041919.0,NASDAQ_PUBLIC_SCREENER,TTD,2026-09-24T19:02:43Z,62.4,IOS_GENERAL,45,PROVISIONAL,BQS_PROVISIONAL|LEVERAGE_THRESHOLD_INDETERMINATE,True,,0.095,0.0509,0.1509,0.107,-0.25,0.442
HWM,HOWMET AEROSPACE INC,GENERAL,PRESENT,100.0,88.4,90.0,60.2,PROVISIONAL,moat|mgmt|balance,,True,19,228.78,91237784063.0,NASDAQ_PUBLIC_SCREENER,HWM,2026-09-24T19:02:43Z,36.8,IOS_GENERAL,114,PROVISIONAL,BQS_PROVISIONAL,False,,0.095,0.0157,0.1157,-0.659,-0.769,-0.556
MSFT,MICROSOFT CORP,SOFTWARE,PRESENT,100.0,88.3,90.0,67.3,PROVISIONAL,moat|balance,,True,20,500.59,3717153817340.0,NASDAQ_PUBLIC_SCREENER,MSFT,2026-09-24T19:02:43Z,36.9,IOS_GENERAL,113,PROVISIONAL,BQS_PROVISIONAL,False,,0.095,0.016,0.116,-0.651,-0.764,-0.545
APH,AMPHENOL CORP CL A,GENERAL,PRESENT,100.0,88.2,100.0,70.4,PROVISIONAL,moat|balance,,True,21,82.19,202677820662.0,NASDAQ_PUBLIC_SCREENER,APH,2026-09-24T19:02:43Z,34.9,IOS_GENERAL,130,PROVISIONAL,BQS_PROVISIONAL,False,,0.095,0.0209,0.1099,-0.545,-0.692,-0.407
FDS,FACTSET RESEARCH SYSTEMS INC,SOFTWARE,PRESENT,100.0,88.2,100.0,70.4,PROVISIONAL,moat|balance,,True,22,279.43,9938079680.0,NASDAQ_PUBLIC_SCREENER,FDS,2026-09-24T19:02:43Z,53.4,IOS_GENERAL,60,PROVISIONAL,BQS_PROVISIONAL,False,,0.095,0.056,0.1358,0.033,-0.3,0.347
INTU,INTUIT INC,SOFTWARE,PRESENT,100.0,88.1,100.0,70.4,PROVISIONAL,moat|balance,,True,23,286.8,76643284800.0,NASDAQ_PUBLIC_SCREENER,INTU,2026-09-24T19:02:43Z,67.4,IOS_GENERAL,39,PROVISIONAL,BQS_PROVISIONAL,False,,0.095,0.0542,0.1542,0.179,-0.202,0.536
CDNS,CADENCE DESIGN SYS INC,SOFTWARE,PRESENT,100.0,87.8,100.0,70.4,PROVISIONAL,moat|balance,,True,24,309.09,85121222370.0,NASDAQ_PUBLIC_SCREENER,CDNS,2026-09-24T19:02:43Z,35.9,IOS_GENERAL,121,PROVISIONAL,BQS_PROVISIONAL,False,,0.095,0.0133,0.1133,-0.711,-0.804,-0.623
HOOD,ROBINHOOD MARKETS INC A,ASSETMGR_EXCH,PRESENT,100.0,87.6,90.0,60.2,PROVISIONAL,moat|runway|balance,,True,25,122.7,110317394897.0,NASDAQ_PUBLIC_SCREENER,HOOD,2026-09-24T19:02:43Z,,IOS_BANK,,NOT_CALCULATED,,True,book value / ROE / crescita sostenibile MISSING,,,,,,
PTC,PTC INC,SOFTWARE,PRESENT,100.0,87.3,100.0,70.4,PROVISIONAL,moat|balance,BASE_EFFECT_SUSPECTED,True,26,140.4,15234279044.0,NASDAQ_PUBLIC_SCREENER,PTC,2026-09-24T19:02:43Z,51.3,IOS_GENERAL,64,PROVISIONAL,BQS_PROVISIONAL|LEVERAGE_THRESHOLD_INDETERMINATE,True,,0.095,0.042,0.1418,-0.086,-0.381,0.191
MSI,MOTOROLA SOLUTIONS INC,SEMICONDUCTOR,PRESENT,100.0,87.1,100.0,66.3,PROVISIONAL,moat|balance,BASE_EFFECT_SUSPECTED,True,27,460.44,76199959747.0,NASDAQ_PUBLIC_SCREENER,MSI,2026-09-24T19:02:43Z,36.8,IOS_GENERAL,115,PROVISIONAL,BQS_PROVISIONAL|LEVERAGE_THRESHOLD_INDETERMINATE,True,,0.105,0.0299,0.1163,-0.506,-0.655,-0.37
PGR,PROGRESSIVE CORP,INSURANCE,PRESENT,100.0,87.0,90.0,52.0,PROVISIONAL,economics|moat|mgmt|balance,,True,28,203.13,118094047640.0,NASDAQ_PUBLIC_SCREENER,PGR,2026-09-24T19:02:43Z,,IOS_INSURANCE,,NOT_CALCULATED,,True,combined ratio MISSING: sottoscrizione non valutabile,,,,,,
APO,APOLLO GLOBAL MANAGEMENT INC,ASSETMGR_EXCH,PRESENT,100.0,86.9,90.0,60.2,PROVISIONAL,moat|runway|balance,,True,29,124.36,73439947253.0,NASDAQ_PUBLIC_SCREENER,APO,2026-09-24T19:02:43Z,58.1,IOS_BANK,52,PROVISIONAL,BQS_PROVISIONAL|LEVERAGE_THRESHOLD_INDETERMINATE,True,,0.095,0.0475,0.1225,0.186,-0.111,0.541
VRSN,VERISIGN INC,SOFTWARE,PRESENT,100.0,86.4,100.0,70.4,PROVISIONAL,moat|balance,,True,30,293.28,26483184000.0,NASDAQ_PUBLIC_SCREENER,VRSN,2026-09-24T19:02:43Z,27.7,IOS_GENERAL,165,PROVISIONAL,BQS_PROVISIONAL,False,,0.095,0.0377,0.0892,-0.382,-0.581,-0.193
