ticker,adsh,total_debt_status,lb,ub,cash_present,ocf_present,flags
FTV,0001659166-26-000007,PARTIAL,2.61309084194978,4.53175775480059,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
CHRW,0001043277-26-000009,PARTIAL,1.0153610805243,3.33712366828901,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;INTEREST_CASH_BASIS;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
LDOS,0001336920-26-000030,PARTIAL,2.02285714285714,4.24171428571429,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;INTEREST_CASH_BASIS;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
J,0001628280-25-053316,PARTIAL,1.45769938721778,9.28533982618421,True,True,BS_CLOSURE_FAILED;CUSTOM_TAG_DEBT_BY_LABEL;FSDS_FACE_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
NDSN,0000072331-25-000144,PARTIAL,2.64478464907707,3.84561198595613,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
IEX,0000832101-26-000003,PARTIAL,1.82363315696649,3.41093474426808,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;INTEREST_CASH_BASIS;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
ZBRA,0001628280-26-007668,PARTIAL,2.59214830970556,5.22246455834242,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;INTEREST_CASH_BASIS;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
ALB,0000915913-26-000018,PARTIAL,1.22871445650555,5.33496221925699,False,True,BS_CLOSURE_FAILED;CASH_MISSING;EBIT_NON_POSITIVE;FSDS_FACE_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
AKAM,0001086222-26-000022,PARTIAL,2.0905959776529,3.66879734521141,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
BBY,0000764478-26-000009,PARTIAL,-0.286442405708461,5.08053007135576,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
EG,0001095073-26-000006,MISSING,-0.429595827900913,14.9074315514993,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;INSURER_OCF_INCLUDES_FLOAT;INTEREST_CASH_BASIS;LEVERAGE_THRESHOLD_INDETERMINATE
MAS,0000062996-26-000005,PARTIAL,2.25048923679061,4.38160469667319,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
RVTY,0000031791-26-000012,PARTIAL,2.93580222770027,6.85874877558827,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
TXT,0000217346-26-000006,MISSING,-1.54344512195122,7.8155487804878,False,True,BS_CLOSURE_FAILED;CASH_MISSING;FACE_LINE_VALUE_NOT_FOUND;FSDS_FACE_ONLY;INTEREST_NET_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE
TRMB,0000864749-26-000015,PARTIAL,2.94873122734335,8.34386328327292,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
AIZ,0001267238-26-000010,PARTIAL,0.2032826217351,15.5864005670974,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;INSURER_OCF_INCLUDES_FLOAT;INTEREST_DEBT_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE
HST,0001070750-26-000054,PARTIAL,2.85364238410596,3.67483443708609,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;REIT_BOOK_ROIC_DEPRECIATION_DISTORTED;ROIC_DEBT_PARTIAL
CRL,0001100682-26-000022,PARTIAL,2.60638571889497,5.03013369556671,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
FOXA,0001628280-25-038077,PARTIAL,0.376353790613718,3.37936221419976,False,True,BS_CLOSURE_FAILED;CASH_MISSING;FSDS_FACE_ONLY;INTEREST_MISSING_WITH_DEBT;INTEREST_NET_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
GL,0000320335-26-000090,PARTIAL,1.77654038159799,17.6844515612031,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;INSURER_OCF_INCLUDES_FLOAT;LEVERAGE_THRESHOLD_INDETERMINATE;STI_NOT_NETTED
IT,0000749251-26-000112,PARTIAL,0.975811495197095,4.68314856649088,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
ALLE,0001579241-26-000007,PARTIAL,2.07182954835417,3.57221229905588,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
GDDY,0001609711-26-000010,PARTIAL,1.68775790921596,4.88920845316994,False,True,BS_CLOSURE_FAILED;CASH_MISSING;FSDS_FACE_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
HAS,0000046080-26-000011,PARTIAL,2.78582624272279,5.58273622928795,False,True,BS_CLOSURE_FAILED;CASH_MISSING;FSDS_FACE_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
LII,0001069202-26-000028,PARTIAL,1.76333157338965,3.8074181626188,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
CLX,0000021076-25-000039,PARTIAL,2.36595310907238,5.00713557594292,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
